PORT_IATA,PORT_NAME,LAT_DEC,LONG_DEC,CITY_NAME,ACTIVE
EUX,F.D. Roosevelt,17.49638,-62.97943,St Eustatius,Y
EVE,Evenes,68.49138,16.67804,Harstad-Narvik,Y
EVG,Sveg,62.04777,14.42304,Sveg,Y
EVN,Zvartnots Intl,40.14721,44.39583,Yerevan,Y
OZG,Zagora,30.26388,-5.85305,Zagora,Y
EVV,Evansville Regional,38.03694,-87.53249,Evansville,Y
EWB,New Bedford Regional,41.6761,-70.95694,New Bedford/Fall River,Y
EWN,Coastal Carolina Regional,35.07304,-77.04305,New Bern,Y
EYP,El Alcaravan,5.31916,-72.38388,Yopal,Y
EZS,Elazig,38.60694,39.29138,Elazig,Y
EZV,Berezovo,63.9211,65.03054,Berezovo,Y
FAE,Vagar,62.06638,-7.29292,Faroe Islands,Y
FAO,Faro,37.01444,-7.96583,Faro,Y
FAR,Hector International,46.92054,-96.81583,Fargo,Y
FAV,Fakarava,-16.05416,-145.65694,Fakarava,Y
FBD,Faizabad,37.12249,70.51804,Faizabad,Y
FBM,Luano Intl,-11.59138,27.53082,Lubumbashi,Y
FCA,Glacier Park Intl,48.31055,-114.25611,Kalispell,Y
FDE,Bringeland,61.39169,5.76043,Forde,Y
FDF,Martinique A. Cesaire,14.5911,-61.00305,Fort de France,Y
FDH,Lowenthal,47.67138,9.51138,Friedrichshafen,Y
FEG,Fergana,40.36138,71.74471,Fergana,Y
FEN,Fernando De Noronha,-3.855,-32.42332,Fernando De Noronha,Y
FEZ,Saiss,33.92721,-4.97804,Fes,Y
FHU,Fort Huachuca/Sierra Vista,31.5886,-110.34444,Fort Huachuca/Sierra Vista,Y
FJR,Fujairah International,25.11222,56.32388,Fujairah,Y
FKI,Bangoka Intl,0.48166,25.33805,Kisangani,Y
FKQ,Torea,-2.92027,132.26693,Fak Fak,Y
FKS,Fukushima,37.22749,140.43054,Fukushima,Y
FLA,Gustavo A. Paredes,1.58916,-75.56444,Florencia,Y
FLN,Hercilio Luz Intl,-27.67054,-48.54721,Florianopolis,Y
FLO,Florence Regional,34.18733,-79.72448,Florence,Y
FLS,Flinders Island,-40.09424,147.99373,Flinders Island,Y
FMA,Formosa,-26.21277,-58.22804,Formosa,Y
FMI,Kalemie,-5.87762,29.24598,Kalemie,Y
ZYN,Nimes Rail Station,43.83246,4.36627,Nimes,Y
FNI,Nimes Garons Airport,43.7575,4.41638,Nimes,Y
FNT,Bishop International,42.96555,-83.7436,Flint,Y
FOC,Changle Intl,25.93499,119.66333,Fuzhou,Y
FOD,Fort Dodge Regional,42.55111,-94.19194,Fort Dodge,Y
FOG,Gino Lisa,41.43333,15.53472,Foggia,Y
FOR,Pinto Martins Intl,-3.77638,-38.53249,Fortaleza,Y
FPO,Grand Bahama International,26.55861,-78.69555,Freeport,Y
FRE,Fera Island,-8.1075,159.57721,Fera Island,Y
FRL,Luigi Ridolfi,44.19555,12.06971,Forli,Y
FRO,Floro,61.5836,5.02471,Floro,Y
FRU,Manas International,43.06138,74.47749,Bishkek,Y
FRW,Francistown,-21.15972,27.47443,Francistown,Y
FSC,Sud-Corse,41.50222,9.09666,Figari,Y
FSD,Joe Foss Field,43.58193,-96.74194,Sioux Falls,Y
FSM,Fort Smith Regional,35.33666,-94.36749,Fort Smith,Y
FSP,Saint Pierre,46.76318,-56.17425,St Pierre,Y
FTA,Futuna Island,-19.51616,170.23227,Futuna Island,Y
FTE,Coandante A. Tola,-50.27999,-72.05333,El Calafate,Y
FTU,Marillac,-25.03805,46.95611,Tolanaro,Y
FUE,Fuerteventura,28.45277,-13.86388,Fuerteventura,Y
FUJ,Goto-Fukue,32.66638,128.83277,Fukue,Y
FUK,Fukuoka,33.58583,130.45055,Fukuoka,Y
FUN,Funafuti International,-8.52527,179.19583,Funafuti,Y
FUT,Futuna,-14.31138,-178.06611,Futuna,Y
FYU,Fort Yukon,66.57138,-145.25055,Fort Yukon,Y
GAF,Ksar,34.42193,8.82249,Gafsa,Y
GAJ,Yamagata,38.41194,140.37138,Yamagata,Y
GAM,Gambell,63.76666,-171.73277,Gambell,Y
GAN,Seenu,-0.69333,73.15555,Gan Island,Y
GAQ,Korogoussou,16.24833,-0.00555,Gao,Y
GAU,Gopinath Bordoloi International,26.10611,91.58583,Guwahati,Y
GAY,Gaya,24.74444,84.95111,Gaya,Y
GBE,Sir Seretse Khama International,-24.55527,25.91832,Gaborone,Y
GBJ,Marie Galante,15.86888,-61.26999,Marie Galante,Y
GBT,Gorgan,36.91138,54.39805,Gorgan,Y
GCK,Garden City Regional,37.92749,-100.72443,Garden City,Y
GCM,Owen Roberts Intl,19.29277,-81.35777,Grand Cayman,Y
GDE,Gode,5.93499,43.5786,Gode,Y
GDL,Miguel Hidalgo Intl,20.52166,-103.31111,Guadalajara,Y
GDN,Gdansk Lech Walesa,54.37749,18.46611,Gdansk,Y
GDQ,Azezo,12.51999,37.43416,Gonder,Y
GDT,J.A.G.S. McCartney Int,21.44525,-71.14509,Grand Turk,Y
GDX,Sokol,59.91111,150.72054,Magadan,Y
GEL,Santo Angelo,-28.28251,-54.17006,Santo Angelo,Y
GEO,Cheddi Jagan International,6.4986,-58.25416,Georgetown,Y
GER,Rafael Cabrera,21.83471,-82.78388,Nueva Gerona,Y
GET,Geraldton,-28.79656,114.70625,Geraldton,Y
GEV,Gallivare,67.13249,20.81472,Gallivare,Y
GFF,Griffith,-34.25365,146.0614,Griffith,Y
GFK,Grand Forks International,47.94916,-97.1761,Grand Forks,Y
GFN,Clarence Valley,-29.75944,153.02999,Grafton,Y
GGG,East Texas Regional,32.38388,-94.71138,Longview,Y
GGT,George Town,23.5625,-75.87804,George Town,Y
GGW,City County,48.2125,-106.61472,Glasgow,Y
GHA,Noumerat,32.38416,3.79416,Ghardaia,Y
GHB,Governors Harbour,25.28471,-76.3311,Governors Harbour,Y
GIB,North Front,36.15111,-5.34971,Gibraltar,Y
GIL,Gilgit,35.91888,74.3336,Gilgit,Y
GIS,Gisborne,-38.66388,177.97693,Gisborne,Y
GIZ,Jazan,16.90111,42.58583,Jazan,Y
GJA,Guanaja,16.44388,-85.90388,Guanaja,Y
GJL,Ferhat Abbas,36.79499,5.8736,Jijel,Y
GKA,Goroka,-6.08166,145.39194,Goroka,Y
GLF,Golfito,8.65325,-83.18117,Golfito,Y
GLK,Galcaio,6.78115,47.45436,Galcaio,Y
GLN,Guelmime,29.02666,-10.05027,Guelmime,Y
GLT,Gladstone,-23.86971,151.22277,Gladstone,Y
GMA,Gemena,3.23527,19.77138,Gemena,Y
GMB,Gambela,8.12888,34.56305,Gambela,Y
GMR,Totegegie,-23.07999,-134.89027,Totegegie,Y
GMZ,La Gomera,28.02971,-17.21472,San Sebastian/Gomera,Y
GND,Maurice Bishop Intl,12.00416,-61.7861,Grenada,Y
GNV,Gainesville Regional,29.68999,-82.27166,Gainesville,Y
GNY,Guney Anadolu Projesi,37.09444,38.84694,Sanliurfa,Y
GOA,Cristoforo Colombo,44.41333,8.83749,Genoa,Y
GOH,Nuuk,64.19083,-51.67804,Nuuk,Y
GOI,Dabolim,15.38082,73.83138,Goa,Y
GOM,Goma International,-1.67082,29.23833,Goma,Y
GOP,Gorakhpur,26.74098,83.4498,Gorakhpur,Y
GOQ,Golmud,36.40028,94.78816,Golmud,Y
GOU,Garoua International,9.33583,13.36999,Garoua,Y
GOV,Gove,-12.26943,136.81832,Nhulunbuy,Y
GPA,Araxos,38.15111,21.42554,Patrai,Y
GPI,Juan Casiano,2.56978,-77.89816,Guapi,Y
GPS,Seymour,-0.45388,-90.26583,Baltra Island,Y
GPT,Gulfport/Biloxi International,30.40722,-89.06999,Gulfport/Biloxi,Y
GRB,Austin-Straubel Intl,44.48548,-88.13375,Green Bay,Y
GRI,Central Nebraska Rgnl,40.96749,-98.30972,Grand Island,Y
GRJ,George,-34.00555,22.37888,George,Y
GIA,Girona Rail Station,41.97916,2.81694,Girona,Y
GRO,Girona Costa Brava Apt,41.90083,2.76055,Girona,Y
GRR,Gerald R. Ford International,42.88082,-85.52277,Grand Rapids,Y
GRX,Frederico Garcia Lorca,37.1886,-3.77721,Granada,Y
GRY,Grimsey,66.54563,-18.01707,Grimsey,Y
GRZ,Graz Airport,46.99361,15.44,Graz,Y
GSM,Dayrestan,26.75194,55.89721,Gheshm Island,Y
GSO,Piedmont Triad Intl,36.09777,-79.93721,Greensboro/High Point,Y
GTE,Groote Eylandt,-13.97231,136.45834,Groote Eylandt,Y
GTO,Tolotio,0.63706,122.85126,Gorontalo,Y
GUA,La Aurora Intl,14.58433,-90.52717,Guatemala City,Y
GUP,Gallup Municipal,35.51111,-108.78944,Gallup,Y
GUW,Atyrau,47.12193,51.82138,Atyrau,Y
ZHT,Geneva Rail Station,46.2,6.16666,Geneva,Y
GVA,Geneva International,46.23805,6.10888,Geneva,Y
GVR,A. Machado Oliveira,-18.89527,-41.98221,Governador Valadares,Y
GWD,Gwadar,25.23333,62.32943,Gwadar,Y
GWL,Gwalior,26.29333,78.22777,Gwalior,Y
GWT,Sylt,54.91333,8.34055,Westerland,Y
GWY,Galway,53.30027,-8.94111,Galway,Y
GXF,Sayun,15.96611,48.78833,Sayun,Y
GYA,Guayaramerin,-10.81777,-65.34721,Guayaramerin,Y
